match_title,open_date,tmdb_release_date,tmdb_genres,tmdb_poster_url,audience_count,target_log_audience,success_rank,success_rank_code,is_success_1000000,is_success_3000000,is_success_5000000,is_success_10000000,meta_tmdb_release_year,meta_tmdb_runtime,meta_tmdb_budget,meta_log_tmdb_budget,meta_open_year,meta_open_month,meta_open_quarter,meta_is_summer_peak,meta_is_winter_peak,meta_is_year_end,open_season,meta_season_spring,meta_season_summer,meta_season_fall,meta_season_winter,genre_SF,genre_가족,genre_공포,genre_다큐멘터리,genre_드라마,genre_로맨스,genre_모험,genre_미스터리,genre_범죄,genre_서부,genre_스릴러,genre_애니메이션,genre_액션,genre_역사,genre_음악,genre_전쟁,genre_코미디,genre_판타지,meta_genre_count,meta_director_count,meta_director_max_frequency,meta_director_mean_frequency,meta_cast_count,meta_cast_max_frequency,meta_cast_mean_frequency,meta_production_company_count,meta_production_company_max_frequency,meta_production_company_mean_frequency,meta_top_director_이준익,meta_top_director_민규동,meta_top_director_김용화,meta_top_director_류승완,meta_top_director_최동훈,meta_top_director_허진호,meta_top_director_유하,meta_top_director_곽경택,meta_top_director_김지운,meta_top_director_김지훈,meta_top_director_김홍선,meta_top_director_박찬욱,meta_top_director_박훈정,meta_top_director_우민호,meta_top_director_김성수,meta_top_director_김성훈,meta_top_director_김한민,meta_top_director_박진표,meta_top_director_봉준호,meta_top_director_양우석,meta_top_director_원신연,meta_top_director_윤제균,meta_top_director_이한,meta_top_director_정범식,meta_top_director_강우석,meta_top_director_김병우,meta_top_director_김태균,meta_top_director_나홍진,meta_top_director_박희곤,meta_top_director_연상호,meta_top_cast_황정민,meta_top_cast_오달수,meta_top_cast_마동석,meta_top_cast_정만식,meta_top_cast_이성민,meta_top_cast_유해진,meta_top_cast_조진웅,meta_top_cast_하정우,meta_top_cast_장영남,meta_top_cast_라미란,meta_top_cast_이경영,meta_top_cast_김의성,meta_top_cast_설경구,meta_top_cast_윤제문,meta_top_cast_이준혁,meta_top_cast_조우진,meta_top_cast_정우성,meta_top_cast_고창석,meta_top_cast_김민재,meta_top_cast_김윤석,meta_top_cast_류승룡,meta_top_cast_박성웅,meta_top_cast_송강호,meta_top_cast_유승목,meta_top_cast_강동원,meta_top_cast_김종수,meta_top_cast_송영창,meta_top_cast_주진모,meta_top_cast_배성우,meta_top_cast_성동일,meta_top_cast_곽도원,meta_top_cast_박정민,meta_top_cast_박희순,meta_top_cast_신정근,meta_top_cast_이병헌,meta_top_cast_이선균,meta_top_cast_김상호,meta_top_cast_정인기,meta_top_cast_김성균,meta_top_cast_김희원,meta_top_cast_이한위,meta_top_cast_이희준,meta_top_cast_정진영,meta_top_cast_조한철,meta_top_cast_권해효,meta_top_cast_김원해,meta_top_cast_김홍파,meta_top_cast_류준열,meta_top_cast_박해준,meta_top_cast_염혜란,title_length,title_length_no_space,title_word_count,title_has_digit,title_has_english,title_has_special_char,title_has_series_keyword,title_keyword_love,title_keyword_war,title_keyword_crime,title_keyword_horror,title_keyword_family,title_keyword_comedy,title_keyword_action,title_keyword_fantasy,title_keyword_youth,title_has_emotion_genre_keyword,poster_available,poster_width,poster_height,poster_aspect_ratio,poster_brightness_mean,poster_saturation_mean,poster_red_mean,poster_green_mean,poster_blue_mean,poster_contrast,poster_edge_density
오피스,2015-09-03,2015-09-03,스릴러|미스터리,https://image.tmdb.org/t/p/original/4nkcTOkkcImr5x66T9qHa3yCdkh.jpg,441208,12.997273965065487,D,0,False,False,False,False,2015,111,0,0.0,2015,9,3,0,0,0,fall,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,2,2.0,10,27,13.1,3,12,8.666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1500,2143,0.6999533364442371,0.2948223948478699,0.3573964536190033,0.2821582853794098,0.2937209904193878,0.333709180355072,0.2587024867534637,0.0407728317663905
"협녀, 칼의 기억",2015-08-13,2015-08-13,드라마|역사|액션,https://image.tmdb.org/t/p/original/6nMF5uCSLzOguWnp61wjcpqhK7t.jpg,431310,12.974584686600064,D,0,False,False,False,False,2015,121,0,0.0,2015,8,3,1,0,0,summer,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,2,2.0,10,28,11.1,2,69,38.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1922,2865,0.6708551483420593,0.3318705260753631,0.462579607963562,0.3325863480567932,0.321830689907074,0.3816893696784973,0.2558733522891998,0.0790734386765299
무뢰한,2015-05-27,2015-05-15,드라마|범죄,https://image.tmdb.org/t/p/original/3iaYivztstVlBxHVQBouHBQz2x9.jpg,414626,12.935134599873535,D,0,False,False,False,False,2015,118,0,0.0,2015,5,2,0,0,0,spring,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2,2.0,10,24,11.0,2,15,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1300,1856,0.7004310344827587,0.4104737341403961,0.2447460144758224,0.3775730431079864,0.4180908799171448,0.4575442969799042,0.260652631521225,0.0555680895413197
소수의견,2015-06-24,2015-06-24,드라마|범죄,https://image.tmdb.org/t/p/original/7M4vLSYEf6vBBqMkCDVv9aYvKA2.jpg,383332,12.856659342105727,D,0,False,False,False,False,2015,126,0,0.0,2015,6,2,0,0,0,summer,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,3,3.0,10,32,14.2,3,19,8.666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,660,990,0.6666666666666666,0.1511178165674209,0.5524332523345947,0.1577256917953491,0.1450693905353546,0.1649307161569595,0.2648506462574005,0.0529433398459947
경성학교: 사라진 소녀들,2015-06-18,2015-06-18,공포|스릴러|미스터리,https://image.tmdb.org/t/p/original/bYNVf06p53bmt2buLynsnkBLpzP.jpg,356342,12.783649029128267,D,0,False,False,False,False,2015,99,0,0.0,2015,6,2,0,0,0,summer,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,1,3,3.0,10,11,4.3,3,69,24.333333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1500,2143,0.6999533364442371,0.5865294933319092,0.3181735575199127,0.6694340705871582,0.5579807758331299,0.5160874724388123,0.2665084600448608,0.0296170313960765
극적인 하룻밤,2015-12-03,2015-12-03,로맨스|코미디,https://image.tmdb.org/t/p/original/5gwLx9YUrLvVHSxMZDRMaReXjXL.jpg,320884,12.678838082471625,D,0,False,False,False,False,2015,107,0,0.0,2015,12,4,0,1,1,winter,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1.0,10,27,9.9,1,14,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,1429,0.6997900629811057,0.7434032559394836,0.2617552876472473,0.8428916931152344,0.7002794742584229,0.7045137286186218,0.2778184115886688,0.0402753074603993
도리화가,2015-11-25,2015-11-25,로맨스|드라마|역사|음악,https://image.tmdb.org/t/p/original/8OsAAbiszmHJQ9Xng8EcXJyMRnx.jpg,317505,12.66825199477412,D,0,False,False,False,False,2015,109,0,0.0,2015,11,4,0,0,0,fall,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,4,1,4,4.0,10,24,10.2,2,155,79.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,953,1429,0.6668999300209937,0.4599265456199646,0.2807651460170746,0.5122774243354797,0.4412204921245575,0.4189400374889374,0.3385145366191864,0.0446596690101613
개를 훔치는 완벽한 방법,2014-12-31,2014-12-31,가족|드라마|코미디,https://image.tmdb.org/t/p/original/y6NI2cFpW1jrExqUXFl6QNbvuf.jpg,263227,12.480775855753755,D,0,False,False,False,False,2014,110,0,0.0,2014,12,4,0,1,1,winter,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,2,2.0,10,10,3.9,3,14,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,1500,0.6666666666666666,0.4538677930831909,0.292346328496933,0.5070124864578247,0.4351047575473785,0.411092460155487,0.2572309970855713,0.0866155129274395
함정,2015-09-10,2015-09-10,스릴러|드라마|범죄|공포,https://image.tmdb.org/t/p/original/vI6dRKxESSnXJWsP7F7XYkZTnXS.jpg,257990,12.460679979574373,D,0,False,False,False,False,2015,96,0,0.0,2015,9,3,0,0,0,fall,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,4,1,2,2.0,4,34,10.0,3,5,4.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1800,2700,0.6666666666666666,0.1419076174497604,0.3424601554870605,0.1375197023153305,0.1441016644239425,0.1421188712120056,0.2275731414556503,0.0263818640317019
소셜포비아,2015-03-12,2015-03-12,스릴러|미스터리|드라마,https://image.tmdb.org/t/p/original/zx1uiFu3ZHzHCwbPHCE1vrW5Rbd.jpg,249169,12.425890673415807,D,0,False,False,False,False,2015,102,0,0.0,2015,3,1,0,0,0,spring,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,3,1,1,1.0,10,16,5.5,3,14,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1429,2144,0.6665111940298507,0.2374230027198791,0.2584538757801056,0.2286248654127121,0.2354234755039215,0.2707944214344024,0.201748639345169,0.1033336332472727
