feature,importance,signed_value
meta_top_cast_김희원,1.6147008532818652,-1.6147008532818652
meta_cast_mean_frequency,1.0757650921596742,1.0757650921596742
meta_is_summer_peak,1.0089667698515354,1.0089667698515354
meta_log_tmdb_budget,0.8772786823656679,0.8772786823656679
meta_open_year,0.7505747149693194,-0.7505747149693194
meta_top_director_이한,0.7287197173321166,-0.7287197173321166
poster_contrast,0.6865980861188047,-0.6865980861188047
genre_코미디,0.6517954990769004,0.6517954990769004
meta_top_cast_유해진,0.639825033648641,0.639825033648641
meta_tmdb_runtime,0.6219735001834942,0.6219735001834942
meta_top_director_김용화,0.6061441467100429,0.6061441467100429
meta_top_cast_이병헌,0.6057023532185525,0.6057023532185525
meta_open_month,0.5329320378934438,-0.5329320378934438
meta_director_mean_frequency,0.5313188783495068,0.5313188783495068
meta_top_cast_김상호,0.48999618019491503,-0.48999618019491503
poster_green_mean,0.4723474233758165,0.4723474233758165
meta_production_company_max_frequency,0.4647556394879942,0.4647556394879942
meta_top_director_원신연,0.460584377081643,-0.460584377081643
meta_top_cast_강동원,0.4518803426618537,0.4518803426618537
meta_season_fall,0.44682259242576905,0.44682259242576905
meta_top_cast_윤제문,0.41046657097211414,-0.41046657097211414
genre_스릴러,0.4102590144714491,-0.4102590144714491
meta_top_director_김지운,0.39741451093913815,-0.39741451093913815
meta_top_cast_유승목,0.3964366643248243,0.3964366643248243
genre_모험,0.3907238671824485,-0.3907238671824485
genre_액션,0.3796615187888556,0.3796615187888556
poster_height,0.37036475111167105,0.37036475111167105
meta_top_director_김태균,0.36421747938387744,-0.36421747938387744
genre_판타지,0.36030262220295495,-0.36030262220295495
meta_top_director_박희곤,0.34413087691364097,-0.34413087691364097
genre_미스터리,0.3432390526740717,0.3432390526740717
meta_top_cast_이성민,0.33963840363481035,-0.33963840363481035
meta_top_cast_조진웅,0.31920621124284626,0.31920621124284626
meta_top_director_정범식,0.3183167575543493,-0.3183167575543493
meta_top_cast_박희순,0.3118843411969175,-0.3118843411969175
meta_top_cast_류준열,0.3017426658338153,0.3017426658338153
meta_top_director_최동훈,0.2989534293678897,-0.2989534293678897
meta_top_cast_박성웅,0.2945080269315298,0.2945080269315298
genre_공포,0.2939357968696518,-0.2939357968696518
genre_가족,0.29360104484532756,-0.29360104484532756
meta_top_director_김병우,0.2796557694493235,0.2796557694493235
genre_다큐멘터리,0.27870225277841254,0.27870225277841254
meta_season_winter,0.27602876406239873,-0.27602876406239873
meta_top_director_양우석,0.2732237674031353,0.2732237674031353
meta_top_cast_주진모,0.27231607970557276,-0.27231607970557276
meta_tmdb_budget,0.2661567098188196,-0.2661567098188196
meta_top_cast_이희준,0.2644081683843868,-0.2644081683843868
poster_blue_mean,0.2629337414466772,-0.2629337414466772
meta_top_cast_황정민,0.25967598424731736,-0.25967598424731736
meta_top_cast_하정우,0.2510192235955813,-0.2510192235955813
meta_top_director_김홍선,0.248898329840275,-0.248898329840275
poster_saturation_mean,0.2413359048417986,-0.2413359048417986
meta_cast_max_frequency,0.24079752405850344,-0.24079752405850344
meta_top_director_윤제균,0.23944807056908854,0.23944807056908854
meta_season_spring,0.23419901813938368,-0.23419901813938368
meta_director_count,0.23162714316179972,0.23162714316179972
meta_top_cast_장영남,0.22731872173954476,0.22731872173954476
meta_top_cast_박해준,0.2258130657879838,-0.2258130657879838
meta_top_director_박훈정,0.22329593351036647,0.22329593351036647
poster_brightness_mean,0.2220125829434329,0.2220125829434329
meta_top_cast_정만식,0.2141558880683125,-0.2141558880683125
meta_top_cast_박정민,0.21307621983004643,-0.21307621983004643
meta_top_cast_이준혁,0.212213305919758,-0.212213305919758
meta_tmdb_release_year,0.20736484707812206,-0.20736484707812206
meta_production_company_mean_frequency,0.20122431256767065,-0.20122431256767065
genre_SF,0.19410773104866685,-0.19410773104866685
meta_open_quarter,0.18464468389195005,-0.18464468389195005
meta_top_cast_김홍파,0.18373114124283102,0.18373114124283102
meta_top_director_김한민,0.18254523400977277,0.18254523400977277
meta_top_director_곽경택,0.1821492587301159,0.1821492587301159
meta_top_cast_이한위,0.18078367363884382,-0.18078367363884382
meta_top_director_이준익,0.1714409639005773,-0.1714409639005773
meta_top_director_김성훈,0.16956293003920242,-0.16956293003920242
meta_top_cast_배성우,0.16566787641729488,0.16566787641729488
meta_top_cast_김성균,0.15953401364351827,-0.15953401364351827
meta_director_max_frequency,0.15902201468164642,0.15902201468164642
meta_is_winter_peak,0.15816597367985644,0.15816597367985644
meta_genre_count,0.1513852130575437,0.1513852130575437
meta_top_cast_김민재,0.14222115017907055,0.14222115017907055
meta_top_cast_이선균,0.14078410434945499,0.14078410434945499
meta_top_director_허진호,0.14068136093993422,-0.14068136093993422
poster_width,0.13197475169571385,0.13197475169571385
meta_top_cast_라미란,0.13128561493667376,-0.13128561493667376
genre_로맨스,0.1307984566752152,-0.1307984566752152
meta_cast_count,0.1260332605994187,-0.1260332605994187
genre_음악,0.12547230551779373,0.12547230551779373
meta_top_cast_정인기,0.12219457286997618,0.12219457286997618
