feature,importance
meta_tmdb_runtime,0.08543393077988075
meta_cast_mean_frequency,0.07356386432022456
meta_cast_max_frequency,0.03869614925286041
meta_director_mean_frequency,0.03834268709547123
meta_log_tmdb_budget,0.03622268572682315
meta_director_max_frequency,0.036194765517138835
meta_open_year,0.036168485476372685
meta_tmdb_budget,0.035030889987434394
poster_brightness_mean,0.034617011793614046
meta_tmdb_release_year,0.03155399556621363
poster_blue_mean,0.03130636876781089
meta_production_company_max_frequency,0.031090905957110837
meta_production_company_mean_frequency,0.031005371447441716
poster_red_mean,0.030769355356201327
poster_green_mean,0.029775292254603486
poster_saturation_mean,0.02826215287905951
poster_edge_density,0.02701539842347531
poster_contrast,0.026895018739253648
poster_height,0.02156561522821545
meta_open_month,0.020841304879947824
poster_aspect_ratio,0.019375368598177595
poster_width,0.01898765770537908
meta_is_summer_peak,0.018030803955087472
title_length,0.01592954786303152
genre_액션,0.013571322046542047
meta_production_company_count,0.013361916227136882
title_length_no_space,0.012802728908929067
meta_season_summer,0.011738783325907718
meta_open_quarter,0.010189328583068992
meta_genre_count,0.00861179702594587
genre_역사,0.007748614457680152
genre_로맨스,0.006071321164919125
genre_드라마,0.005981062325626946
title_word_count,0.005765114591561869
meta_season_spring,0.005209621792291266
meta_season_fall,0.005024258084997119
genre_코미디,0.00485181985434647
meta_top_cast_유해진,0.004645078526353681
meta_top_cast_이병헌,0.004494236173376285
genre_스릴러,0.004398146763195151
genre_공포,0.0038534631409221387
genre_범죄,0.0036861883261234824
meta_top_cast_하정우,0.0035567858773747248
meta_top_cast_오달수,0.0034916198774594632
meta_top_cast_강동원,0.0034394495667561323
genre_전쟁,0.0033802231393347615
meta_season_winter,0.003082765881565603
meta_is_winter_peak,0.002869574783737683
title_has_emotion_genre_keyword,0.0026254002519322667
meta_is_year_end,0.002322757336385191
genre_미스터리,0.0021727675760331074
meta_top_cast_정만식,0.0021578905686269684
meta_top_cast_송강호,0.0016066160979051113
meta_top_cast_김윤석,0.0015773344225883956
meta_top_cast_김의성,0.001498538874669408
meta_top_cast_조진웅,0.0014895607675284002
meta_top_cast_장영남,0.0014611551772982846
meta_top_cast_송영창,0.0013295890169473456
meta_top_cast_곽도원,0.0012235864196962342
meta_top_cast_황정민,0.0011402624340186372
meta_cast_count,0.0011353043564415405
meta_top_cast_조우진,0.0010302909062518122
meta_top_cast_이경영,0.0009949285057193964
meta_top_cast_설경구,0.000986164419149103
meta_top_cast_박성웅,0.0009385099324187375
genre_판타지,0.0009091117206456661
meta_top_cast_이성민,0.0008893974460506855
meta_top_cast_김민재,0.0008524378733328109
meta_top_cast_주진모,0.0008371551988042656
meta_top_cast_이준혁,0.0008316966141416635
meta_top_cast_유승목,0.0007913104787655257
meta_top_director_김용화,0.0007890846581315037
genre_모험,0.0007766124345110085
meta_top_cast_윤제문,0.0007416907659075903
meta_top_cast_성동일,0.0007250383635736934
meta_top_cast_이한위,0.0007244061708703365
meta_top_cast_정우성,0.0007007170550248821
meta_top_cast_김종수,0.0006456086901419806
meta_top_cast_마동석,0.0006353766057661585
meta_top_cast_라미란,0.0006348615385764491
title_has_special_char,0.0006348114984115479
title_has_digit,0.0006327262230738987
title_keyword_love,0.0006091208223870367
meta_top_cast_배성우,0.0006076996753900798
title_keyword_war,0.0005765368629255588
meta_top_cast_김홍파,0.0005651728528979512
title_keyword_crime,0.0005423848500765594
meta_top_cast_김상호,0.0005042678463176362
title_keyword_fantasy,0.0004929808761232115
meta_top_cast_박희순,0.00048473688494181236
meta_top_cast_류승룡,0.00047174693817973794
meta_top_director_이준익,0.00046468187208564474
meta_top_cast_신정근,0.00046255508672588815
meta_top_cast_김성균,0.00044851962128992357
meta_top_cast_정진영,0.00039677510152540124
meta_top_cast_고창석,0.00039357396225057575
