feature,importance,signed_value
poster_green_mean,0.521312313875281,0.521312313875281
poster_red_mean,0.4289551094972131,-0.4289551094972131
meta_open_quarter,0.4046683143687754,-0.4046683143687754
poster_height,0.30486858329148997,0.30486858329148997
meta_cast_mean_frequency,0.2809976014359405,0.2809976014359405
meta_season_fall,0.26806725559618705,0.26806725559618705
poster_blue_mean,0.26699641833856097,-0.26699641833856097
meta_tmdb_release_year,0.23058133712431458,-0.23058133712431458
meta_is_year_end,0.2109220907085908,0.2109220907085908
meta_open_year,0.19484944386258418,-0.19484944386258418
meta_top_director_김지운,0.19146612477704433,-0.19146612477704433
meta_season_winter,0.19112160481510526,-0.19112160481510526
meta_log_tmdb_budget,0.18020254889988044,0.18020254889988044
meta_director_mean_frequency,0.17239176722012606,0.17239176722012606
genre_다큐멘터리,0.1675466830281827,0.1675466830281827
meta_cast_count,0.16735631767262069,0.16735631767262069
meta_top_cast_이병헌,0.1628205115650494,0.1628205115650494
meta_tmdb_runtime,0.15973392271121784,0.15973392271121784
meta_production_company_max_frequency,0.15761722616443283,0.15761722616443283
meta_is_summer_peak,0.15725586164443278,0.15725586164443278
poster_width,0.15674958213813728,-0.15674958213813728
meta_season_spring,0.14978385944189757,-0.14978385944189757
title_has_emotion_genre_keyword,0.13673890838362598,0.13673890838362598
title_keyword_action,0.135204648395606,-0.135204648395606
poster_brightness_mean,0.1340797022440331,0.1340797022440331
genre_코미디,0.12987645847663432,0.12987645847663432
meta_top_director_윤제균,0.12812626216888925,0.12812626216888925
meta_top_cast_장영남,0.12026718949376342,-0.12026718949376342
meta_director_max_frequency,0.11847473969578727,0.11847473969578727
title_has_series_keyword,0.11751267053854995,0.11751267053854995
meta_top_cast_정인기,0.10774832111819294,-0.10774832111819294
meta_top_director_김병우,0.09916315332733465,0.09916315332733465
meta_top_cast_유해진,0.09852398211900282,0.09852398211900282
genre_액션,0.09790040400017194,0.09790040400017194
title_has_special_char,0.0966067578004251,0.0966067578004251
