feature,importance,signed_value
poster_height,2.991468278221073,2.991468278221073
poster_width,2.7990352937676533,-2.7990352937676533
poster_green_mean,0.5597794230568927,0.5597794230568927
poster_red_mean,0.4545595577516198,-0.4545595577516198
meta_open_quarter,0.44131945513897963,-0.44131945513897963
meta_season_fall,0.2964571985773191,0.2964571985773191
poster_blue_mean,0.28297379394236316,-0.28297379394236316
meta_cast_mean_frequency,0.27560198612297815,0.27560198612297815
meta_is_year_end,0.24574708167069154,0.24574708167069154
meta_tmdb_release_year,0.234072172181104,-0.234072172181104
poster_aspect_ratio,0.214967225563661,0.214967225563661
meta_season_winter,0.20947752153649957,-0.20947752153649957
meta_open_year,0.19911425247439082,-0.19911425247439082
meta_top_director_김지운,0.19349778653969757,-0.19349778653969757
meta_log_tmdb_budget,0.1862804912829449,0.1862804912829449
genre_다큐멘터리,0.1782995100455401,0.1782995100455401
meta_is_summer_peak,0.177323079191334,0.177323079191334
meta_director_max_frequency,0.1749681173041251,0.1749681173041251
meta_cast_count,0.1710364000924254,0.1710364000924254
meta_tmdb_runtime,0.16787421401104868,0.16787421401104868
meta_top_cast_이병헌,0.1632621026779947,0.1632621026779947
meta_season_spring,0.15486785299252903,-0.15486785299252903
meta_production_company_max_frequency,0.1510649981145739,0.1510649981145739
poster_brightness_mean,0.14641030185775974,0.14641030185775974
title_keyword_action,0.13671243367320754,-0.13671243367320754
title_has_emotion_genre_keyword,0.13070891374694765,0.13070891374694765
genre_코미디,0.1272810683691955,0.1272810683691955
meta_top_director_윤제균,0.12513396734068402,0.12513396734068402
meta_director_mean_frequency,0.12381332391899458,0.12381332391899458
meta_top_cast_장영남,0.12210332886607697,-0.12210332886607697
title_has_series_keyword,0.11337535565102907,0.11337535565102907
meta_top_cast_정인기,0.11037896169639683,-0.11037896169639683
title_has_special_char,0.10216614984179885,0.10216614984179885
meta_top_director_김병우,0.10106522954685952,0.10106522954685952
meta_top_cast_유해진,0.09975847813878538,0.09975847813878538
meta_top_director_이준익,0.0985032541366889,-0.0985032541366889
meta_top_director_허진호,0.09780106427770872,-0.09780106427770872
genre_액션,0.09733298825791917,0.09733298825791917
poster_edge_density,0.09603789552968243,-0.09603789552968243
meta_top_cast_강동원,0.09398610881100827,0.09398610881100827
meta_top_cast_라미란,0.09125711000358612,0.09125711000358612
genre_SF,0.08992435848254501,-0.08992435848254501
meta_is_winter_peak,0.08911536489659547,0.08911536489659547
title_length_no_space,0.08834206250120609,-0.08834206250120609
genre_로맨스,0.08818220512907027,-0.08818220512907027
meta_top_director_최동훈,0.08740847381834418,-0.08740847381834418
title_keyword_youth,0.08545501366363231,-0.08545501366363231
meta_top_director_유하,0.08496981703899754,-0.08496981703899754
meta_top_director_류승완,0.08386978921809245,-0.08386978921809245
meta_top_director_김성수,0.08324857466182205,-0.08324857466182205
title_keyword_horror,0.08299766149098015,-0.08299766149098015
meta_top_cast_김홍파,0.08296136545584126,-0.08296136545584126
meta_top_cast_윤제문,0.08293731151450764,-0.08293731151450764
meta_top_cast_오달수,0.08260484556095918,-0.08260484556095918
