feature,importance,signed_value
meta_open_quarter,0.37753226489673974,-0.37753226489673974
meta_season_fall,0.3089064637525215,0.3089064637525215
meta_cast_mean_frequency,0.28056567369096214,0.28056567369096214
meta_tmdb_release_year,0.2369953555981492,-0.2369953555981492
meta_season_winter,0.2281566980181206,-0.2281566980181206
meta_is_year_end,0.20549903775114103,0.20549903775114103
meta_log_tmdb_budget,0.19993535913743815,0.19993535913743815
meta_top_director_김지운,0.19145395918734892,-0.19145395918734892
meta_director_mean_frequency,0.18675356291012943,0.18675356291012943
meta_is_summer_peak,0.18387107735250835,0.18387107735250835
genre_다큐멘터리,0.18180712349082703,0.18180712349082703
meta_cast_count,0.1664112219483321,0.1664112219483321
meta_top_cast_이병헌,0.15724463271915926,0.15724463271915926
meta_season_spring,0.15422490680491954,-0.15422490680491954
meta_open_year,0.14520412356585327,-0.14520412356585327
meta_tmdb_runtime,0.1337453841617183,0.1337453841617183
meta_production_company_max_frequency,0.1323349987295209,0.1323349987295209
meta_open_month,0.130640728684565,-0.130640728684565
title_has_emotion_genre_keyword,0.12952558956567697,0.12952558956567697
genre_액션,0.12847736303705914,0.12847736303705914
meta_is_winter_peak,0.12788428472120916,0.12788428472120916
meta_director_max_frequency,0.1274466252959843,0.1274466252959843
meta_top_director_윤제균,0.12708037482123555,0.12708037482123555
meta_top_cast_장영남,0.1268182858355458,-0.1268182858355458
meta_top_director_이준익,0.11244038293355821,-0.11244038293355821
meta_top_director_유하,0.10897325764131074,-0.10897325764131074
title_has_series_keyword,0.10805050676459732,0.10805050676459732
meta_top_director_최동훈,0.10689327428726197,-0.10689327428726197
meta_top_cast_정인기,0.10620201514888337,-0.10620201514888337
title_keyword_action,0.10501891967881558,-0.10501891967881558
meta_top_cast_강동원,0.10125030030464742,0.10125030030464742
title_length_no_space,0.10012383760076872,-0.10012383760076872
genre_음악,0.09931641604361949,-0.09931641604361949
meta_cast_max_frequency,0.09527982944818249,0.09527982944818249
meta_top_director_김병우,0.09428395790085593,0.09428395790085593
meta_top_cast_윤제문,0.09191802110191012,-0.09191802110191012
meta_top_director_민규동,0.09021367341954598,-0.09021367341954598
meta_production_company_mean_frequency,0.0900216354774683,0.0900216354774683
meta_top_cast_오달수,0.08848946159076325,-0.08848946159076325
meta_top_cast_김홍파,0.08801121212711976,-0.08801121212711976
meta_top_director_김성수,0.08797872227313017,-0.08797872227313017
genre_로맨스,0.08734245183340397,-0.08734245183340397
title_has_special_char,0.08666258870773247,0.08666258870773247
meta_top_cast_설경구,0.08343638945833579,-0.08343638945833579
title_keyword_war,0.08211234618820878,-0.08211234618820878
meta_top_cast_유해진,0.08050611290679242,0.08050611290679242
genre_코미디,0.08048217509220715,0.08048217509220715
meta_top_cast_정만식,0.07966339114814118,-0.07966339114814118
genre_애니메이션,0.07856479617597292,0.07856479617597292
genre_SF,0.0781778604721293,-0.0781778604721293
meta_top_cast_김성균,0.07754287698466666,0.07754287698466666
title_keyword_horror,0.07728496687051796,-0.07728496687051796
meta_top_director_김성훈,0.07275252983177198,0.07275252983177198
genre_역사,0.07135049489738383,0.07135049489738383
title_keyword_youth,0.07132015325725634,-0.07132015325725634
genre_미스터리,0.07083348188687617,0.07083348188687617
meta_top_cast_송강호,0.06994020957307431,0.06994020957307431
meta_top_cast_하정우,0.06977970054737632,-0.06977970054737632
meta_top_director_류승완,0.0697175363590651,-0.0697175363590651
title_has_english,0.0692530015476488,-0.0692530015476488
meta_top_director_허진호,0.06890925214595894,-0.06890925214595894
meta_top_director_나홍진,0.06755447229081052,-0.06755447229081052
genre_스릴러,0.06738531121454093,-0.06738531121454093
meta_season_summer,0.06595469795387165,0.06595469795387165
meta_director_count,0.06447408827485056,-0.06447408827485056
genre_전쟁,0.06353698939574952,0.06353698939574952
meta_top_director_박희곤,0.06274174232281551,-0.06274174232281551
title_length,0.05905238922696078,-0.05905238922696078
meta_top_cast_이선균,0.05845552501112108,-0.05845552501112108
meta_top_director_김홍선,0.058397511840054234,-0.058397511840054234
meta_top_cast_주진모,0.05800035229855441,-0.05800035229855441
title_keyword_love,0.05758985821563069,0.05758985821563069
meta_top_cast_유승목,0.05713556889383313,-0.05713556889383313
meta_top_cast_이경영,0.05672332386128189,-0.05672332386128189
meta_top_cast_송영창,0.056111516597125086,-0.056111516597125086
genre_드라마,0.05551731294763625,-0.05551731294763625
meta_top_cast_정진영,0.05477762199761974,-0.05477762199761974
meta_top_cast_김의성,0.053871907663988604,-0.053871907663988604
meta_top_cast_조우진,0.05247948680528592,-0.05247948680528592
title_word_count,0.051870922886390176,0.051870922886390176
meta_top_cast_고창석,0.05115655118219788,0.05115655118219788
meta_top_cast_곽도원,0.04888365501071281,0.04888365501071281
genre_판타지,0.04701449950272521,-0.04701449950272521
meta_top_cast_라미란,0.043992546458458494,0.043992546458458494
meta_top_director_우민호,0.04049054694657011,0.04049054694657011
meta_top_cast_박희순,0.038385950647051255,-0.038385950647051255
meta_genre_count,0.03748611894686087,0.03748611894686087
meta_top_director_양우석,0.03611476440982416,0.03611476440982416
meta_top_director_박진표,0.03265487259470487,-0.03265487259470487
meta_top_cast_이희준,0.03150519609941244,-0.03150519609941244
meta_top_cast_박성웅,0.03144751702814714,-0.03144751702814714
meta_top_director_곽경택,0.03136862927124476,0.03136862927124476
title_keyword_fantasy,0.030094552233144452,0.030094552233144452
meta_top_cast_마동석,0.029917811238542338,0.029917811238542338
genre_공포,0.02935516596084147,-0.02935516596084147
meta_top_cast_염혜란,0.02935383182136149,0.02935383182136149
genre_모험,0.028077658151171414,-0.028077658151171414
meta_top_cast_박해준,0.02734262557731434,0.02734262557731434
title_has_digit,0.027287916954476896,0.027287916954476896
