feature,importance,signed_value
poster_green_mean,0.5839091688029423,0.5839091688029423
meta_open_quarter,0.4053850713071273,-0.4053850713071273
poster_red_mean,0.3780402705645366,-0.3780402705645366
meta_cast_mean_frequency,0.27170737424246894,0.27170737424246894
meta_director_mean_frequency,0.24593273140120955,0.24593273140120955
poster_blue_mean,0.24096195246718982,-0.24096195246718982
meta_tmdb_release_year,0.22739541014412515,-0.22739541014412515
meta_season_winter,0.2200720081310244,-0.2200720081310244
meta_open_year,0.19591162617066402,-0.19591162617066402
meta_season_spring,0.19286555744063702,-0.19286555744063702
meta_top_director_김지운,0.18238189979998734,-0.18238189979998734
meta_log_tmdb_budget,0.1756815238704058,0.1756815238704058
genre_다큐멘터리,0.1677134603610752,0.1677134603610752
meta_cast_count,0.16726747949989076,0.16726747949989076
meta_season_fall,0.16338278737138176,0.16338278737138176
meta_top_cast_이병헌,0.16150999880634492,0.16150999880634492
meta_tmdb_runtime,0.1591000555188258,0.1591000555188258
meta_production_company_max_frequency,0.15806126293265751,0.15806126293265751
genre_코미디,0.14841640812499968,0.14841640812499968
meta_is_summer_peak,0.1473513667764891,0.1473513667764891
poster_height,0.1434824495138627,0.1434824495138627
meta_is_year_end,0.12968184078251743,0.12968184078251743
meta_top_director_윤제균,0.1291611206205957,0.1291611206205957
title_keyword_action,0.1265949802923843,-0.1265949802923843
genre_액션,0.12015436419243702,0.12015436419243702
title_has_series_keyword,0.11716589232795127,0.11716589232795127
title_has_emotion_genre_keyword,0.11674154036791429,0.11674154036791429
meta_top_cast_장영남,0.11231705443608553,-0.11231705443608553
title_length_no_space,0.10840358759715042,-0.10840358759715042
meta_top_cast_정인기,0.10511030086490938,-0.10511030086490938
meta_top_director_김병우,0.09816523836321604,0.09816523836321604
meta_top_cast_유해진,0.0969958453429651,0.0969958453429651
genre_역사,0.09484071283371197,0.09484071283371197
title_has_special_char,0.09421456504122312,0.09421456504122312
meta_top_cast_강동원,0.09361837059681552,0.09361837059681552
poster_edge_density,0.0933639006504879,-0.0933639006504879
meta_is_winter_peak,0.09181435617876474,0.09181435617876474
title_keyword_youth,0.08613438817801024,-0.08613438817801024
meta_top_cast_김홍파,0.08502614517938105,-0.08502614517938105
meta_top_cast_라미란,0.08293245659155439,0.08293245659155439
genre_SF,0.08183729805406817,-0.08183729805406817
title_keyword_horror,0.08060813240646975,-0.08060813240646975
meta_top_director_허진호,0.07973583438736027,-0.07973583438736027
meta_top_director_이준익,0.0780790328890306,-0.0780790328890306
meta_top_cast_정진영,0.07793368306263873,-0.07793368306263873
genre_애니메이션,0.07719535929630021,0.07719535929630021
meta_top_cast_하정우,0.07606274141971808,-0.07606274141971808
meta_top_director_나홍진,0.0757437175536932,-0.0757437175536932
genre_미스터리,0.07523154610282903,0.07523154610282903
meta_top_cast_오달수,0.0750624107256252,-0.0750624107256252
meta_top_director_김성수,0.07391598746995283,-0.07391598746995283
meta_top_cast_윤제문,0.07341637573827606,-0.07341637573827606
meta_top_director_유하,0.07137754772233242,-0.07137754772233242
meta_top_director_최동훈,0.07122370338207643,-0.07122370338207643
meta_top_director_류승완,0.07051772513234801,-0.07051772513234801
meta_top_cast_김성균,0.07008491105148687,0.07008491105148687
